Id,LotArea,LotFrontage,YearBuilt,1stFlrSF,2ndFlrSF,YearRemodAdd,TotRmsAbvGrd,KitchenAbvGr,BedroomAbvGr,GarageCars,GarageArea,price
1,8450,65.0,2003,856,854,2003,8,1,3,2,548,12.24769911637256
2,9600,80.0,1976,1262,0,1976,6,1,3,2,460,12.109016442313738
3,11250,68.0,2001,920,866,2002,6,1,3,2,608,12.317171167298682
4,9550,60.0,1915,961,756,1970,7,1,3,3,642,11.849404844423074
5,14260,84.0,2000,1145,1053,2000,9,1,4,3,836,12.429220196836383
6,14115,85.0,1993,796,566,1995,5,1,1,2,480,11.870606902224587
7,10084,75.0,2004,1694,0,2005,7,1,3,2,636,12.634606283893019
8,10382,,1973,1107,983,1973,7,1,3,2,484,12.206077645517674
9,6120,51.0,1931,1022,752,1950,8,2,2,2,468,11.774527900858468
10,7420,50.0,1939,1077,0,1950,5,2,2,1,205,11.678448377988165
11,11200,70.0,1965,1040,0,1965,5,1,3,1,384,11.771443882099637
12,11924,85.0,2005,1182,1142,2006,11,1,4,3,736,12.75130259456002
13,12968,,1962,912,0,1962,4,1,2,1,352,11.87757552297847
14,10652,91.0,2006,1494,0,2007,7,1,3,3,840,12.540761149388421
15,10920,,1960,1253,0,1960,5,1,2,1,352,11.964007453736912
16,6120,51.0,1929,854,0,2001,5,1,2,2,576,11.790564777297387
17,11241,,1970,1004,0,1970,5,1,2,2,480,11.91170829631447
18,10791,72.0,1967,1296,0,1967,6,2,2,2,516,11.407576060361786
19,13695,66.0,2004,1114,0,2004,6,1,3,2,576,11.976665770490767
20,7560,70.0,1958,1339,0,1965,6,1,3,1,294,11.842236406331555
21,14215,101.0,2005,1158,1218,2006,9,1,4,3,853,12.692506186542177
22,7449,57.0,1930,1108,0,1950,6,1,3,1,280,11.845109950883979
23,9742,75.0,2002,1795,0,2002,7,1,3,2,534,12.345838935721968
24,4224,44.0,1976,1060,0,1976,6,1,3,2,572,11.774527900858468
25,8246,,1968,1060,0,2001,6,1,3,1,270,11.944714374881176
26,14230,110.0,2007,1600,0,2007,7,1,3,3,890,12.454107814022272
27,7200,60.0,1951,900,0,2000,5,1,3,2,576,11.811554895830454
28,11478,98.0,2007,1704,0,2008,7,1,3,3,772,12.631343648903034
29,16321,47.0,1957,1600,0,1997,6,1,2,1,319,12.242891437918386
30,6324,60.0,1927,520,0,1950,4,1,1,1,240,11.134603622683905
31,8500,50.0,1920,649,668,1950,6,1,3,1,250,10.596659732783579
32,8544,,1966,1228,0,2006,6,1,3,1,271,11.914054519303125
33,11049,85.0,2007,1234,0,2007,7,1,3,2,484,12.100161978566867
34,10552,70.0,1959,1700,0,1959,6,1,4,2,447,12.016732516077072
35,7313,60.0,2005,1561,0,2005,6,1,2,2,556,12.533579815765737
36,13418,108.0,2004,1132,1320,2005,9,1,4,3,691,12.6410997921206
37,10859,112.0,1994,1097,0,1995,6,1,3,2,672,11.884495917930655
38,8532,74.0,1954,1297,0,1990,5,1,3,2,498,11.938199736300925
39,7922,68.0,1953,1057,0,2007,5,1,3,1,246,11.599112335481124
40,6040,65.0,1955,1152,0,1955,6,2,2,0,0,11.314486721293981
41,8658,84.0,1965,1324,0,1965,6,1,3,2,440,11.982935344196433
42,16905,115.0,1959,1328,0,1959,5,1,2,1,308,12.04355959836804
43,9180,,1983,884,0,1983,5,1,2,2,504,11.87757552297847
44,9200,,1975,938,0,1980,5,1,3,1,308,11.777218637129327
45,7945,70.0,1959,1150,0,1959,6,1,3,1,300,11.856522261533737
46,7658,61.0,2005,1752,0,2005,6,1,2,2,576,12.675766851909591
47,12822,48.0,2003,1518,631,2003,6,1,1,2,670,12.387089184491993
48,11096,84.0,2006,1656,0,2006,7,1,3,3,826,12.428019481065613
49,4456,33.0,1920,736,716,2008,8,3,2,0,0,11.635151947212842
50,7742,66.0,1966,955,0,1966,6,1,3,1,386,11.751950239425476
51,13869,,1997,794,676,1997,6,1,3,2,388,12.083910661257521
52,6240,52.0,1934,816,0,1950,6,1,3,2,528,11.648338835562747
53,8472,110.0,1963,816,0,1963,5,1,2,2,516,11.608244735642321
54,50271,68.0,1981,1842,0,1987,5,1,0,3,894,12.861001210669146
55,7134,60.0,1955,1360,0,1955,6,1,3,2,572,11.775297421715827
56,10175,100.0,1964,1425,0,1964,7,1,3,2,576,12.103491596905931
57,2645,24.0,1999,983,756,2000,7,1,3,2,480,12.058158312538197
58,11645,89.0,2004,860,860,2004,7,1,3,2,565,12.188422799337028
59,13682,66.0,2006,1426,1519,2006,10,1,3,3,641,12.991755706536901
60,7200,60.0,1972,780,0,1972,4,1,2,1,352,11.735276702486741
61,13072,63.0,2004,1158,0,2004,5,1,3,2,576,11.970356641102999
62,7200,60.0,1920,581,530,1996,6,1,3,1,288,11.522885696764481
63,6442,44.0,2006,1370,0,2006,6,1,2,2,484,12.218500103788143
64,10300,50.0,1921,902,808,1950,9,1,3,2,480,11.849404844423074
65,9375,,1997,1057,977,1998,8,1,3,2,645,12.299112067295642
66,9591,76.0,2004,1143,1330,2005,9,1,4,3,852,12.666660207428574
67,19900,,1970,2207,0,1989,7,1,3,2,576,12.100717685412471
68,10665,72.0,2003,1479,0,2003,7,1,3,2,558,12.328294703023394
69,4608,47.0,1945,747,0,1950,4,1,2,1,220,11.289794413577894
70,15593,81.0,1953,1304,983,1953,7,1,3,2,667,12.323860125621126
71,13651,95.0,1973,2223,0,1973,8,1,3,2,516,12.404927602627597
72,7599,69.0,1982,845,0,2006,4,1,2,2,360,11.771443882099637
73,10141,74.0,1998,885,833,1998,7,1,3,2,427,12.128116509451258
74,10200,85.0,1954,1086,0,2003,6,1,3,2,490,11.88380602959621
75,5790,60.0,1915,840,765,1950,8,2,3,1,379,11.58432477200052
76,1596,21.0,1973,526,462,1973,5,1,2,1,297,11.418625774449596
77,8475,,1956,952,0,1956,4,1,2,1,283,11.818577604251555
78,8635,50.0,1948,1072,213,2001,6,1,2,1,240,11.751950239425476
79,10778,72.0,1968,1768,0,1968,8,2,4,0,0,11.824087219587643
80,10440,60.0,1910,682,548,1981,5,1,2,2,440,11.608244735642321
81,13000,100.0,1968,1182,960,1968,8,1,4,1,509,12.173037959397275
82,4500,32.0,1998,1337,0,1998,5,1,2,2,405,11.941462360646149
83,10206,78.0,2007,1563,0,2007,6,1,3,3,758,12.409017571151187
84,8892,80.0,1960,1065,0,1960,6,1,3,2,461,11.748005492256807
85,8530,,1995,804,670,1996,7,1,3,2,400,12.034696963475044
86,16059,121.0,1991,1301,1116,1992,9,1,4,2,462,12.468440756144114
87,11911,122.0,2005,684,876,2005,6,1,3,2,400,12.066816325306588
88,3951,40.0,2009,612,612,2009,4,1,2,2,528,12.010671928196443
89,8470,105.0,1915,1013,0,1982,6,1,2,0,0,11.350418300109132
90,8070,60.0,1994,990,0,1995,5,1,3,0,0,11.724813914587886
91,7200,60.0,1950,1040,0,1950,4,1,2,2,420,11.60733523953139
92,8500,85.0,1961,1235,0,1961,6,1,2,2,480,11.498836682527127
93,13360,80.0,1921,964,0,2006,5,1,2,2,432,12.004574385508691
94,7200,60.0,1910,1260,1031,1998,9,2,4,2,506,11.804855999911272
95,9337,69.0,1997,905,881,1997,7,1,3,2,684,12.229549885708273
96,9765,,1993,680,790,1993,6,1,3,2,420,12.128116509451258
97,10264,78.0,1999,1588,0,1999,6,1,3,2,472,12.273735966890268
98,10921,73.0,1965,960,0,1965,6,1,3,1,432,11.459007676978688
99,10625,85.0,1920,835,0,1950,5,1,2,1,366,11.326607934898927
100,9320,77.0,1959,1225,0,1959,6,1,3,0,0,11.767187766223199
101,10603,,1977,1610,0,2001,6,1,3,2,480,12.230770136157428
102,9206,77.0,1985,977,755,1985,7,1,3,2,476,12.08954444723597
103,7018,64.0,1979,1535,0,1979,8,2,4,2,410,11.68658461118553
104,10402,94.0,2009,1226,0,2009,6,1,3,3,740,12.200562492481511
105,7758,,1931,1226,592,1950,7,1,4,1,240,12.040614105490253
106,9375,75.0,2003,1053,939,2004,9,1,3,2,648,12.429220196836383
107,10800,60.0,1885,1047,0,1995,6,1,2,1,273,11.51293546492023
108,6000,50.0,1948,789,0,1950,5,1,2,1,250,11.652696102959753
109,8500,85.0,1919,997,520,2005,7,1,3,0,0,11.652696102959753
110,11751,105.0,1977,1844,0,1977,7,1,3,2,546,12.154784614286667
111,9525,75.0,1954,1216,639,1972,7,1,4,1,325,11.827013315851762
112,7750,,2000,774,656,2000,7,1,3,2,400,12.100717685412471
113,9965,77.0,2007,1282,1414,2007,10,1,4,3,792,12.85832230788469
114,21000,,1953,2259,0,1953,7,1,3,2,450,12.28765724080691
115,7259,61.0,1945,1436,884,2002,9,1,3,1,180,12.466515835145202
116,3230,34.0,1999,729,729,1999,5,1,2,2,440,12.07824495582233
117,11616,,1962,1092,0,1962,6,1,3,1,288,11.842236406331555
118,8536,74.0,2006,1125,0,2007,5,1,2,2,430,11.951186847493476
119,12376,90.0,1990,1699,1523,1990,11,1,5,3,594,12.676079399771027
120,8461,65.0,2005,728,728,2006,8,1,3,2,390,12.0075668272517
121,21453,,1969,988,0,1969,4,1,1,2,540,12.100717685412471
122,6060,50.0,1939,772,351,1950,4,1,3,1,264,11.51293546492023
123,9464,75.0,1958,1080,0,1958,5,1,3,1,288,11.820417517632333
124,7892,55.0,1993,1199,0,1993,5,1,2,2,530,11.944064817531656
125,17043,48.0,1979,1586,0,1998,7,1,3,2,435,12.10625783509458
126,6780,60.0,1935,520,0,1982,5,1,2,0,0,11.344518647594766
127,4928,,1976,958,0,1976,5,1,2,2,440,11.759793355371237
128,4388,55.0,1930,840,0,1950,5,1,3,0,0,11.373674891823535
129,7590,69.0,1966,660,688,1966,6,1,3,2,453,11.951186847493476
130,8973,69.0,1958,1053,0,1991,6,1,3,2,750,11.918397239722838
131,14200,88.0,1966,1216,941,1966,8,1,4,2,487,12.328294703023394
132,12224,,2000,1022,1032,2000,7,1,3,2,390,12.404927602627597
133,7388,75.0,1959,1327,0,2002,7,1,3,2,624,11.923384748066601
134,6853,,2001,1296,0,2002,6,1,2,2,471,12.301387370778713
135,10335,78.0,1968,1721,0,1993,7,1,3,2,440,12.100717685412471
136,10400,80.0,1970,1682,0,1970,7,1,3,2,530,12.066816325306588
137,10355,,1967,1214,0,1967,5,1,3,1,318,11.870606902224587
138,11070,82.0,1988,1959,0,1989,9,2,5,3,766,12.049424683420915
139,9066,73.0,1999,1004,848,2000,7,1,3,3,660,12.345838935721968
140,15426,65.0,1997,928,836,1997,7,1,3,2,470,12.352339472153524
141,10500,70.0,1971,864,0,1971,5,1,3,0,0,11.652696102959753
142,11645,78.0,2005,1734,0,2005,7,1,3,2,660,12.468440756144114
143,8520,71.0,1952,910,475,1952,6,1,4,2,720,12.019749091416921
144,10335,78.0,1999,1501,0,1999,6,1,3,2,577,12.225880174775122
145,9100,70.0,1963,1728,0,1963,10,2,6,2,504,11.736077016252437
146,2522,24.0,2004,970,739,2006,7,1,3,2,380,11.775297421715827
147,6120,51.0,1931,875,0,1993,5,1,2,1,180,11.561725152903833
148,9505,,2001,884,1151,2001,8,1,3,2,434,12.312686874960354
149,7500,63.0,2004,1080,0,2005,6,1,3,0,0,11.856522261533737
150,6240,,1936,896,448,1950,7,1,3,1,240,11.652696102959753
151,10356,120.0,1975,969,0,1975,5,1,3,2,440,11.711784520403112
152,13891,107.0,2007,1710,0,2008,6,1,2,3,866,12.827731880206521
153,14803,,1971,1097,896,1971,8,1,4,2,495,12.154784614286667
154,13500,,1960,1252,0,1975,4,1,1,2,564,12.367345048436391
155,11340,84.0,1923,1200,0,1950,7,1,4,1,312,11.736077016252437
156,9600,60.0,1924,572,524,1950,5,1,2,0,0,11.277215789596893
157,7200,60.0,1950,1040,0,1950,5,1,2,2,625,11.603688960617083
158,12003,92.0,2009,774,1194,2010,8,1,4,3,680,12.504327379899443
159,12552,100.0,2004,991,956,2005,8,1,3,2,678,12.448630513463613
160,19378,134.0,2005,1392,1070,2006,9,1,4,2,576,12.676079399771027
161,11120,,1984,1232,0,1984,6,1,3,2,516,11.998439434579149
162,13688,110.0,2003,1572,1096,2004,10,1,3,3,726,12.929993908996359
163,12182,95.0,2005,1541,0,2005,7,1,3,2,532,12.301387370778713
164,5500,55.0,1956,882,0,1956,4,1,1,0,0,11.544433821905134
165,5400,40.0,1926,1149,467,2004,5,1,3,1,216,11.931642378754141
166,10106,62.0,1940,808,547,1999,6,2,4,0,0,11.755879486687116
167,10708,,1955,1867,0,1993,7,1,2,1,303,12.154784614286667
168,10562,86.0,2007,1610,551,2007,8,1,3,3,789,12.693501691489768
169,8244,62.0,2004,840,880,2004,7,1,3,2,440,12.119975396053194
170,16669,,1981,1707,0,1981,6,1,2,2,511,12.337105293891872
171,12358,,1941,854,0,1950,7,1,2,2,660,11.763691965388299
172,31770,141.0,1960,1656,0,1960,7,1,3,2,528,12.278397958261774
173,5306,44.0,1987,1064,703,1987,5,1,2,2,504,12.384223015005313
174,10197,80.0,1961,1362,0,1961,6,1,3,2,504,12.001511614739405
175,12416,47.0,1986,1651,0,1986,7,1,3,2,616,12.122696471358964
176,12615,84.0,1950,2158,0,2001,7,1,4,2,576,12.400820837540556
177,10029,97.0,1988,1164,896,1989,8,1,4,2,521,12.259618151783465
178,13650,,1958,1252,668,1958,8,1,4,2,451,12.058158312538197
179,17423,63.0,2008,2234,0,2009,9,1,1,3,1166,13.126032637428713
180,8520,60.0,1923,968,0,2006,5,1,2,2,480,11.51293546492023
181,2117,,2000,769,756,2000,5,1,3,2,440,12.083910661257521
182,7588,54.0,1920,901,901,1950,9,1,4,1,216,12.206577518060588
183,9060,60.0,1957,1340,0,2006,7,1,3,1,252,11.695255355062795
184,11426,63.0,2003,1362,720,2003,6,1,3,2,484,12.206077645517674
185,7438,92.0,1908,936,316,1991,5,1,3,2,576,11.751950239425476
186,22950,90.0,1892,1518,1518,1993,12,1,4,3,840,13.07107218827772
187,9947,,1990,1217,0,1991,6,1,3,2,497,12.06105265381003
188,10410,60.0,1916,808,704,1987,8,1,3,1,180,11.813037464800539
189,7018,64.0,1979,1224,0,1979,6,2,2,2,528,11.940399914116648
190,4923,41.0,2001,1593,0,2002,5,1,0,2,682,12.563750586299374
191,10570,70.0,1932,1549,1178,1994,10,1,3,2,440,12.660331092405906
192,7472,,1972,725,754,2004,7,1,4,2,484,12.122696471358964
193,9017,68.0,1999,1431,0,1999,6,1,3,2,666,12.165255859329688
194,2522,24.0,2004,970,739,2004,7,1,3,2,380,11.775297421715827
195,7180,60.0,1972,864,0,1972,5,1,3,1,352,11.751950239425476
196,2280,24.0,1976,855,601,1976,7,1,3,2,440,11.908346971208951
197,9416,79.0,2007,1726,0,2007,8,1,3,3,786,12.650351332641707
198,25419,174.0,1918,1360,1360,1990,8,1,4,2,795,12.367345048436391
199,5520,92.0,1912,929,929,1950,8,1,5,0,0,11.552155793461898
200,9591,76.0,2004,1713,0,2005,7,1,3,3,856,12.524166311833152
201,8546,80.0,2003,1121,0,2004,5,1,2,2,440,11.849404844423074
202,10125,75.0,1977,1279,0,1977,6,1,3,2,473,12.052344376474922
203,7000,50.0,1924,865,445,1950,6,1,2,1,398,11.626263078808801
204,4438,,2004,848,0,2004,3,1,1,2,420,11.91170829631447
205,3500,50.0,1947,720,564,1950,5,1,2,1,240,11.608244735642321
206,11851,99.0,1990,1442,0,1990,5,1,3,2,500,12.103491596905931
207,13673,40.0,1962,1696,0,1962,8,1,3,1,349,11.87688084212164
208,12493,,1960,1100,0,1960,6,1,3,1,312,11.856522261533737
209,14364,,1988,1180,882,1989,7,1,3,2,454,12.531776395271262
210,8250,75.0,1964,1092,0,1964,6,1,3,2,504,11.884495917930655
211,5604,67.0,1925,864,0,1950,5,1,2,0,0,11.49273296168228
212,10420,83.0,2009,1212,0,2009,6,1,3,2,460,12.133507329024972
213,8640,72.0,2009,932,920,2009,7,1,3,2,644,12.439875187430008
214,13568,43.0,1995,990,0,1995,5,1,3,2,576,11.957617696467539
215,10900,,1977,689,703,1977,6,1,3,1,299,11.993813394724253
216,10011,72.0,1957,1236,0,1996,6,1,2,1,447,11.808955099378537
217,8450,65.0,2004,1436,0,2004,8,1,3,2,484,12.25486757159303
218,9906,57.0,1925,810,518,1950,8,1,3,1,210,11.580593459194764
219,15660,,1939,1137,817,2006,8,1,3,2,431,12.649157827477366
220,3010,43.0,2005,1248,0,2006,5,1,2,2,438,12.027191164883384
221,8990,73.0,2006,1498,0,2006,5,1,2,2,675,12.230282214644559
222,8068,,2002,1010,1257,2002,8,1,4,2,390,12.206077645517674
223,11475,85.0,1975,811,741,1975,6,1,3,2,434,12.100161978566867
224,10500,70.0,1971,864,0,1971,4,1,2,2,576,11.48247656671073
225,13472,103.0,2003,2392,0,2003,8,1,3,3,968,12.864242696187505
226,1680,21.0,1971,630,672,1971,6,1,3,1,280,11.626263078808801
227,9950,82.0,1995,1214,1306,1995,9,1,4,3,721,12.577639650232573
228,1869,21.0,1970,483,504,1970,5,1,2,1,280,11.571203807011969
229,8521,70.0,1967,912,0,1967,5,1,3,1,336,11.736077016252437
230,3182,43.0,2005,1555,0,2006,7,1,2,2,430,12.167856627501678
231,8760,73.0,1959,1194,0,1959,6,1,3,1,312,11.904974309480183
232,15138,174.0,1995,1490,1304,1996,9,1,4,3,810,12.90669432231532
233,1680,21.0,1972,483,504,1972,5,1,2,1,288,11.456365695436427
234,10650,75.0,1976,894,0,1976,5,1,3,1,308,11.761354623750297
235,7851,,2002,860,1100,2002,8,1,4,2,440,12.285350445351659
236,1680,21.0,1971,483,504,1971,5,1,2,1,264,11.402005077384885
237,8773,65.0,2004,1414,0,2004,6,1,3,2,494,12.130815551850676
238,9453,,1993,1014,730,2003,7,1,3,2,457,12.178192583415596
239,12030,93.0,2007,1694,0,2007,7,1,3,3,818,12.669809806411457
240,8741,52.0,1945,798,689,1950,7,1,3,1,220,11.635151947212842
241,9000,75.0,2008,1566,0,2008,7,1,3,2,750,12.47801017053037
242,3880,40.0,1945,866,0,1997,4,1,2,0,0,11.612779849672751
243,5000,63.0,1900,889,551,1950,6,1,3,1,352,11.277215789596893
244,10762,75.0,1980,626,591,1980,6,1,3,1,288,11.695255355062795
245,8880,,1994,1222,888,2002,8,1,3,2,463,12.230770136157428
246,10400,80.0,1988,1872,0,1988,6,1,3,2,604,12.394628892852941
247,9142,69.0,1910,908,1020,1950,9,2,4,1,440,11.827743504053695
248,11310,75.0,1954,1375,0,1954,5,1,2,2,451,11.849404844423074
249,11317,72.0,2003,840,828,2003,8,1,3,2,500,12.100717685412471
250,159000,,1958,1444,700,2006,7,1,4,2,389,12.531776395271262
251,5350,55.0,1940,1306,0,1966,6,1,3,0,0,11.245059091624615
252,4750,44.0,2006,1625,0,2007,5,1,2,2,538,12.367345048436391
253,8366,65.0,2004,798,842,2004,6,1,3,2,520,12.06105265381003
254,9350,85.0,1964,1302,0,1991,7,1,3,1,309,11.970356641102999
255,8400,70.0,1957,1314,0,1957,5,1,3,1,294,11.884495917930655
256,8738,66.0,1999,1005,1286,1999,8,1,4,2,429,12.345838935721968
257,8791,64.0,2003,864,864,2003,7,1,3,2,673,12.242891437918386
258,8814,68.0,2006,1604,0,2006,8,1,3,2,660,12.301387370778713
259,12435,80.0,2001,963,829,2001,7,1,3,2,564,12.352339472153524
260,12702,70.0,1956,882,0,1956,4,1,2,1,308,11.48247656671073
261,19296,120.0,1962,1382,0,1962,6,1,3,2,884,12.07824495582233
262,9588,69.0,2007,1482,1092,2007,10,1,3,3,868,12.52815976788113
263,8471,88.0,1977,1212,0,1995,6,1,3,2,492,11.92504173829169
264,5500,50.0,1929,926,0,2001,6,1,3,2,484,11.775297421715827
265,5232,30.0,1925,764,0,2004,4,1,2,2,504,11.19822841866684
266,12090,78.0,1981,1422,0,1981,7,1,3,2,576,12.075400019877522
267,11207,70.0,1997,802,709,1997,8,1,3,2,413,12.128116509451258
268,8400,60.0,1939,1052,720,1997,8,1,4,1,240,12.097936057925594
269,6900,71.0,1940,778,0,1955,4,1,2,1,924,11.699413330633599
270,7917,,1976,1113,0,1976,6,1,3,1,504,11.904974309480183
271,10728,84.0,2006,1095,844,2006,8,1,3,3,1053,12.491255347155265
272,39104,73.0,1954,1363,0,2005,5,1,2,2,439,12.394628892852941
273,11764,92.0,1999,1164,1106,2007,9,1,4,3,671,12.577639650232573
274,9600,80.0,1958,1632,0,1988,6,1,3,1,338,11.842236406331555
275,8314,76.0,1982,816,0,1982,5,1,2,1,264,11.732069026983156
276,7264,55.0,1925,952,596,2007,5,1,3,2,672,12.230770136157428
277,9196,129.0,2003,1560,0,2003,7,1,3,2,573,12.211065162153215
278,19138,140.0,1951,864,0,1951,4,1,2,2,400,11.856522261533737
279,14450,107.0,2006,2121,0,2007,8,1,3,3,732,12.936754021718041
280,10005,83.0,1977,1156,866,1977,8,1,4,2,505,12.165255859329688
281,11287,82.0,1989,1175,807,1989,7,1,3,2,575,12.339295865674435
282,7200,60.0,2006,1262,0,2006,5,1,2,2,572,12.128116509451258
283,5063,34.0,2007,1314,0,2008,6,1,2,2,626,12.242891437918386
284,9612,74.0,2008,1468,0,2009,6,1,3,3,898,12.407383590534293
285,8012,50.0,1992,1575,0,1992,5,1,2,2,529,12.09626335986454
286,4251,35.0,2006,625,625,2007,5,1,2,2,528,12.011886987792716
287,9786,77.0,1962,1085,649,1981,7,1,3,2,440,11.976665770490767
288,8125,,1971,858,0,1971,5,1,3,0,0,11.385103457032141
289,9819,,1967,900,0,1967,5,1,3,1,280,11.711784520403112
290,8730,60.0,1915,698,698,2003,7,1,3,1,384,11.941950837487406
291,15611,120.0,2006,1079,840,2006,8,1,3,2,685,12.359784657728284
292,5687,55.0,1912,936,780,2000,9,1,6,0,0,11.819681958463892
